# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
21vju SNIFS 0.04066797699727431 1.6321110611200451e-06 1.8116973680495918e-06 4.419974810417823 s
20zfu SNIFS 0.07231154207173157 8.838493698010152e-06 7.165256952906818e-07 3.840926179272285 s
19klr SNIFS 0.09104116267379547 2.850763660854072e-05 0.00011491625449611131 2.5298694217995847 n
20tzb SNIFS 0.081214592305546 0.0001622782965765568 4.0974035335109016e-05 2.3154653320623844 w
19vnk SNIFS 0.06317904351190544 1.3643359801751576e-05 5.748636715624533e-06 2.035722557200447 w
20zpe SNIFS 0.05723988214485431 5.2012916370719475e-06 2.2163691624152437e-06 2.0062051653477493 n
20zbc SNIFS 0.03226003638399581 5.926237387696154e-06 1.6140512789711292e-05 2.13324357997796 w
19kai SNIFS 0.03870646403121007 2.0753680377294526e-06 8.560801601956158e-06 2.8845639292719767 w
20xsl SNIFS 0.05076838352083194 5.351084937904593e-06 4.877103231673563e-06 1.2892236962307901 n
19xfx SNIFS 0.048764683389032865 1.0576014533893174e-05 2.296107784960366e-06 3.198326833404468 w
20tgi SNIFS 0.08735286097301055 1.4911312889095973e-05 1.2916870208781739e-05 2.0205762248257013 w
20vbv SNIFS 0.054496054824365016 1.0492579963064519e-05 8.19954895690811e-06 3.1788733504272058 s
19klr SNIFS 0.02221464209480339 9.021765700417683e-06 2.5242439839062714e-07 3.928436284129618 s
21aceu SNIFS 0.031127162150593187 8.475044080344385e-06 4.822911241868233e-07 3.6914824325645528 s
21wqc SNIFS 0.06727524251914782 5.1652217648856524e-06 5.092393933148198e-06 2.4048022562515015 w
21bzw SNIFS 0.06973235411399371 7.422048100530487e-06 6.169334650779623e-07 4.54969513723427 s
21dsb SNIFS 0.02995247123788255 1.1780864934064772e-05 5.409017854000886e-06 2.1678588254920244 s
21fym SNIFS 0.0370060916976931 2.0804319260658843e-06 8.974661975302833e-06 1.4189918843666443 s
21xfo SNIFS 0.0638422004876778 2.5441787738014754e-05 1.1913633767957066e-05 743.5895642855378 w
21wue SNIFS 0.07802827431826731 9.616901756465124e-07 6.367742831844825e-06 3.8879915561272798 s
21ybx SNIFS 0.0533455631103761 1.6392278944024619e-06 5.864316949245885e-06 4.122553297274105 s
21pom SNIFS 0.03245477379597771 5.805204915249051e-07 1.3117348491645253e-06 3.8508546773593375 s
21oat SNIFS 0.02271456456460942 7.115205728228102e-06 1.7653425099725673e-06 3.4372423672655725 s
21wrt SNIFS 0.07915024958589248 1.0326423335441093e-05 3.2828038774024293e-06 3.961272057125609 s
21yrf SNIFS 0.017234454736958192 1.9875855597345504e-06 7.4564680212496626e-06 4.6101862089506165 s
21yma SNIFS 0.0812673087908132 2.2597652086231435e-06 3.012303461571997e-06 4.544364558451739 s
21ble SNIFS 0.04985654189764994 2.730710618195631e-06 1.1450334124932238e-05 2.9698050149312385 s
21ads SNIFS 0.0131012603823744 1.639078669193883e-06 9.981681847933202e-06 1.3096998750354105 s
21aut SNIFS 0.04415473278409448 2.958138796041454e-06 6.996705825906835e-06 4.872502597757513 s
19dfx SNIFS 0.038654336440895706 1.0436676322340965e-05 7.410534727268769e-06 2.5078867989448463 n
20ucf SNIFS 0.05632411213490663 6.552453253740043e-06 8.912718367885819e-06 4.815846306088634 s
21bjy SNIFS 0.027328304897419574 3.9533299493674234e-06 1.85633678099692e-06 3.1364424226341225 s
